"GEOID","year","County","Geography","estimate","moe"
"36037",2015,"Genesee","NA County",6.6,0.9
"36051",2015,"Livingston","NA County",11.1,1.2
"36055",2015,"Monroe","NA County",7.3,0.3
"36069",2015,"Ontario","NA County",10.5,1
"36073",2015,"Orleans","NA County",13.4,1.8
"36099",2015,"Seneca","NA County",16.1,1.4
"36117",2015,"Wayne","NA County",11.9,1
"36123",2015,"Yates","NA County",29,2
"36037",2016,"Genesee","NA County",7.1,1.1
"36051",2016,"Livingston","NA County",11.3,1.3
"36055",2016,"Monroe","NA County",7.4,0.4
"36069",2016,"Ontario","NA County",11.1,0.8
"36073",2016,"Orleans","NA County",12.8,1.7
"36099",2016,"Seneca","NA County",15.8,1.4
"36117",2016,"Wayne","NA County",11.7,1
"36123",2016,"Yates","NA County",30.6,1.8
"36037",2017,"Genesee","NA County",6.8,1
"36051",2017,"Livingston","NA County",10.9,1.3
"36055",2017,"Monroe","NA County",7.8,0.4
"36069",2017,"Ontario","NA County",11.6,0.9
"36073",2017,"Orleans","NA County",12.5,1.6
"36099",2017,"Seneca","NA County",16.9,1.5
"36117",2017,"Wayne","NA County",12,1
"36123",2017,"Yates","NA County",32.2,2.3
"36037",2018,"Genesee","NA County",8,1.3
"36051",2018,"Livingston","NA County",11.2,1.2
"36055",2018,"Monroe","NA County",8,0.4
"36069",2018,"Ontario","NA County",12.2,1
"36073",2018,"Orleans","NA County",12,1.7
"36099",2018,"Seneca","NA County",17.2,1.4
"36117",2018,"Wayne","NA County",12.3,1.1
"36123",2018,"Yates","NA County",34.5,1.8
"36037",2019,"Genesee","NA County",7.9,1.3
"36051",2019,"Livingston","NA County",12.1,1.2
"36055",2019,"Monroe","NA County",7.9,0.4
"36069",2019,"Ontario","NA County",11.9,1
"36073",2019,"Orleans","NA County",10.9,1.6
"36099",2019,"Seneca","NA County",17.1,1.7
"36117",2019,"Wayne","NA County",12.1,1
"36123",2019,"Yates","NA County",35.7,2.5
"36037",2020,"Genesee","NA County",6.4,1
"36051",2020,"Livingston","NA County",11.2,1.2
"36055",2020,"Monroe","NA County",7.3,0.3
"36069",2020,"Ontario","NA County",10.7,0.8
"36073",2020,"Orleans","NA County",10.5,1.6
"36099",2020,"Seneca","NA County",16,1.6
"36117",2020,"Wayne","NA County",10.8,1
"36123",2020,"Yates","NA County",36.1,2.7
"36037",2021,"Genesee","NA County",5.8,1
"36051",2021,"Livingston","NA County",11.4,1.2
"36055",2021,"Monroe","NA County",6.8,0.4
"36069",2021,"Ontario","NA County",10.8,1
"36073",2021,"Orleans","NA County",11.2,1.7
"36099",2021,"Seneca","NA County",15.7,1.5
"36117",2021,"Wayne","NA County",10.4,1
"36123",2021,"Yates","NA County",34.4,2.3
"36037",2022,"Genesee","NA County",6.2,1.2
"36051",2022,"Livingston","NA County",11.3,1.4
"36055",2022,"Monroe","NA County",6.4,0.4
"36069",2022,"Ontario","NA County",10.6,1.1
"36073",2022,"Orleans","NA County",11.2,1.6
"36099",2022,"Seneca","NA County",15.5,1.6
"36117",2022,"Wayne","NA County",10.7,1.1
"36123",2022,"Yates","NA County",32.3,2.6
"36037",2023,"Genesee","NA County",5.1,1.2
"36051",2023,"Livingston","NA County",10.5,1.5
"36055",2023,"Monroe","NA County",6.3,0.4
"36069",2023,"Ontario","NA County",10,1.2
"36073",2023,"Orleans","NA County",11.3,1.5
"36099",2023,"Seneca","NA County",15.3,1.5
"36117",2023,"Wayne","NA County",9.8,1
"36123",2023,"Yates","NA County",30.8,2.8
"36037",2024,"Genesee","NA County",5,1.1
"36051",2024,"Livingston","NA County",10.4,1.5
"36055",2024,"Monroe","NA County",6.2,0.4
"36069",2024,"Ontario","NA County",9.5,1
"36073",2024,"Orleans","NA County",11.5,1.5
"36099",2024,"Seneca","NA County",16,1.6
"36117",2024,"Wayne","NA County",9.8,0.9
"36123",2024,"Yates","NA County",28.2,2.1
